Categoria,Plato,Descripcion,Precio,Imagen URL
Menú brasa,Chifa + 1/8 pollo,Chifa + 1/8 pollo + refresco + caldito,10.00,
Menú brasa,Chaufa,Chaufa + refresco + caldito,10.00,
Menú brasa,Mostrito,Mostrito + refresco + caldito,10.00,
Pollos,1/8 de pollo,1/8 pollo + papas + cremas + ensalada + chicha,10.00,
Pollos,1/4 de pollo,1/4 pollo + papas + cremas + ensalada + chicha,15.00,
Pollos,1/2 pollo,1/2 pollo + papas + cremas + ensalada + chicha,35.00,
Pollos,1 pollo,1 pollo + ensalada + papas + cremas + chicha,60.00,
Mostros,Mostrito brasa,1/8 pollo + chaufa + ensalada + papas + cremas + chicha,10.00,
Mostros,Mostrito broaster,1/8 pollo broaster + chaufa + papas + ensalada + cremas + chicha,12.00,
Mostros,Mostrito pollo a la plancha,Pechuga + chaufa + papas + ensalada + chicha,10.00,
Mostros,Mostrito a la cubana,1/8 pollo + huevo frito + plátano frito + chaufa + papas + ensalada + cremas + chicha,14.00,
Mostrazos,Mostrazo brasa,1/4 pollo + chaufa + ensalada + papas + cremas + chicha,17.00,
Mostrazos,Mostrazo broaster,1/4 pollo broaster + chaufa + papas + ensalada + cremas + chicha,19.00,
Mostrazos,Mostrazo pollo a la plancha,Pechuga + chaufa + papas + ensalada + chicha,15.00,
Mostrazos,Mostrazo a la cubana,1/4 pollo + huevo frito + plátano frito + chaufa + papas + ensalada + cremas + chicha,20.00,
Chifa,Chaufa de pollo,Chaufa de pollo + cremas + chicha,10.00,
Chifa,Chaufa de chancho,Chaufa de chancho + cremas + chicha,12.00,
Chifa,Chaufa de res,Chaufa de res + cremas + chicha,12.00,
Chifa,Aeropuerto simple,Aeropuerto simple + cremas + chicha,10.00,
Chifa,Aeropuerto especial,Aeropuerto especial + cremas + chicha,13.00,
Chifa,Combinado simple,Combinado simple + cremas + chicha,12.00,
Bebidas,Inca o Coca Cola personal,,2.50,
Bebidas,Inca o Coca Cola 600 ml,,4.00,
Bebidas,Inca o Coca Cola 1 L,,7.00,
Bebidas,Inca o Coca Cola 1.5 L,,9.00,
Bebidas,Inca o Coca Cola 2.25 L,,11.00,
Bebidas,Inca o Coca Cola 3 L,,14.00,
Bebidas,Gordita,,5.00,
Bebidas,Pepsi 750 ml,,4.00,
Bebidas,Pepsi 1 L,,5.50,
Bebidas,Pepsi 1.5 L,,6.50,
Bebidas,Pepsi 2 L,,7.50,
Bebidas,Pepsi 3 L,,11.00,
Bebidas,Agua Cielo o San Luis,,2.00,
Bebidas,Cerveza Pilsen,,8.00,
Bebidas,Cusqueña trigo o negra,,10.00,
Bebidas,Concordia 1.5 L,,5.50,
Bebidas,"Pepsi, Concordia o 7up 355 ml",,1.50,
Bebidas,Gatorade,,3.00,
Bebidas,Chicha o maracuyá 1 L,,10.00,
Bebidas,Chicha o maracuyá 500 ml,,6.00,
Bebidas,"Infusiones (té, anís y manzanilla)",,2.50,
